Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
E1C/C;750-370;HHPLC0_E0417;WAGO;ACCOPPIATORE PROFINET;1;;DHH0101;;;0.00;;58;R;
E1C/D;750-370;HHPLC0_E0417;WAGO;ACCOPPIATORE PROFINET;1;;DHH0101;;;0.00;;62;R;
SB3;29.21 10 00;HHPULS_SB042;ROSE;CONTENITORE PER PULSANTE MOBILE MODELLO PILOT 110;1;;DHH0101;;;0.00;;59;R;
SB9;ZB4-BA2;HHPULS_SB103;SCHNEIDER;TESTA PER PULSANTE NERO;1;;DHH0090;;0.00;0.00;;66;R;
SB3;ZB4-BA2;HHPULS_SB103;SCHNEIDER;TESTA PER PULSANTE NERO;1;;DHH0101;;0.00;0.00;;59;R;
SA1;ZB4-BZ101;HHPULS_SB108;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.O.;1;;DHH0090;;0.00;0.00;;54;R;
SB1;ZB4-BZ101;HHPULS_SB108;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.O.;1;;DHH0090;;0.00;0.00;;54;R;
SB9;ZB4-BZ101;HHPULS_SB108;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.O.;1;;DHH0090;;0.00;0.00;;66;R;
SB3;ZB4-BZ101;HHPULS_SB108;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.O.;1;;DHH0101;;0.00;0.00;;59;R;
SB10A;ZB4-BZ102;HHPULS_SB109;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;41;R;
SB10B;ZB4-BZ102;HHPULS_SB109;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;41;R;
SB10D;ZB4-BZ102;HHPULS_SB109;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;49;R;
SB2;ZB4-BZ102;HHPULS_SB109;SCHNEIDER;CORPO PER PULSANTI E SELETTORI - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;54;R;
SB10A;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;41;R;
SB10B;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;41;R;
SB10D;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;1;;DHH0090;;0.00;0.00;;49;R;
SB6A;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;2;;DHH0090;;0.00;0.00;;46;R;
SB6B;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;2;;DHH0090;;0.00;0.00;;46;R;
SB6D;ZBE-101;HHPULS_SB110;SCHNEIDER;CONTATTO N.O. PER PULSANTI E SELETTORI;2;;DHH0090;;0.00;0.00;;46;R;
